animal_image,animal_type,expected_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,image.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,8.064552299998468,8.064552299998468,space,0.6613712999969721,,,,978245,001,2022-07-03_01h19.34.177,file2,2022.2.0,29.921190575826632,
cat2.jpg,cat,c,0,0,0,1,,,,,8.84425740000006,8.84425740000006,None,978245,001,2022-07-03_01h19.34.177,file2,2022.2.0,29.921190575826632,
dog2.jpg,dog,d,0,1,1,6,,,,,9.811429399996996,9.811429399996996,None,978245,001,2022-07-03_01h19.34.177,file2,2022.2.0,29.921190575826632,
cat5.jpg,cat,c,0,2,2,4,,,,,10.80450700000074,10.80450700000074,None,978245,001,2022-07-03_01h19.34.177,file2,2022.2.0,29.921190575826632,
dog1.jpg,dog,d,0,3,3,5,,,,,11.803591199997754,11.803591199997754,None,978245,001,2022-07-03_01h19.34.177,file2,2022.2.0,29.921190575826632,
dog4.jpg,dog,d,0,4,4,8,,,,,12.808818500001507,12.808818500001507,None,978245,001,2022-07-03_01h19.34.177,file2,2022.2.0,29.921190575826632,
dog3.jpg,dog,d,0,5,5,7,,,,,13.800970399999642,13.800970399999642,None,978245,001,2022-07-03_01h19.34.177,file2,2022.2.0,29.921190575826632,
cat4.jpg,cat,c,0,6,6,3,,,,,14.800188200002594,14.800188200002594,None,978245,001,2022-07-03_01h19.34.177,file2,2022.2.0,29.921190575826632,
cat3.jpg,cat,c,0,7,7,2,,,,,15.799270600000455,15.799270600000455,None,978245,001,2022-07-03_01h19.34.177,file2,2022.2.0,29.921190575826632,
dog5.jpg,dog,d,0,8,8,9,,,,,16.79633019999892,16.79633019999892,None,978245,001,2022-07-03_01h19.34.177,file2,2022.2.0,29.921190575826632,
cat1.jpg,cat,c,0,9,9,0,,,,,17.7941703999968,17.7941703999968,None,978245,001,2022-07-03_01h19.34.177,file2,2022.2.0,29.921190575826632,
