animal_image,animal_type,expected_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,image.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,8.538932399998885,8.538932399998885,space,1.4933701999980258,,,,437928,001,2022-07-03_01h16.51.308,file2,2022.2.0,29.9812407377113,
cat5.jpg,cat,c,0,0,0,4,,,,,10.151387400001113,10.151387400001113,None,437928,001,2022-07-03_01h16.51.308,file2,2022.2.0,29.9812407377113,
dog2.jpg,dog,d,0,1,1,6,,,,,11.133696700002474,11.133696700002474,None,437928,001,2022-07-03_01h16.51.308,file2,2022.2.0,29.9812407377113,
dog1.jpg,dog,d,0,2,2,5,,,,,12.127440100004605,12.127440100004605,None,437928,001,2022-07-03_01h16.51.308,file2,2022.2.0,29.9812407377113,
dog4.jpg,dog,d,0,3,3,8,,,,,13.13074300000153,13.13074300000153,None,437928,001,2022-07-03_01h16.51.308,file2,2022.2.0,29.9812407377113,
cat1.jpg,cat,c,0,4,4,0,,,,,14.124750100003439,14.124750100003439,None,437928,001,2022-07-03_01h16.51.308,file2,2022.2.0,29.9812407377113,
cat2.jpg,cat,c,0,5,5,1,,,,,15.12174860000232,15.12174860000232,None,437928,001,2022-07-03_01h16.51.308,file2,2022.2.0,29.9812407377113,
dog3.jpg,dog,d,0,6,6,7,,,,,16.12012130000221,16.12012130000221,None,437928,001,2022-07-03_01h16.51.308,file2,2022.2.0,29.9812407377113,
dog5.jpg,dog,d,0,7,7,9,,,,,17.119189600001846,17.119189600001846,None,437928,001,2022-07-03_01h16.51.308,file2,2022.2.0,29.9812407377113,
cat4.jpg,cat,c,0,8,8,3,,,,,18.117729800003872,18.117729800003872,None,437928,001,2022-07-03_01h16.51.308,file2,2022.2.0,29.9812407377113,
cat3.jpg,cat,c,0,9,9,2,,,,,19.116599599998153,19.116599599998153,None,437928,001,2022-07-03_01h16.51.308,file2,2022.2.0,29.9812407377113,
